% #Source	#Target	#Weight	
Lal.Darwaja	Bhadra	1.0
Lal.Darwaja	Khamasa	25.0
Lal.Darwaja	Nehru.Bridge	28.0
Lal.Darwaja	Delhi.Darwaja	1.0
Lal.Darwaja	Jansatta.Office	16.0
Lal.Darwaja	Vasna.Terminus	2.0
Lal.Darwaja	Sardarbag	1.0
Lal.Darwaja	Khanpur	2.0
Lal.Darwaja	relief.Road	1.0
Lal.Darwaja	Tilak.Marg	2.0
Bhadra	Gandhi.Road	1.0
Gandhi.Road	Khadia	1.0
Khadia	Shaher.Kotda	1.0
Khadia	Raipur.Chakla	1.0
Khadia	Astodia.Darwaja	1.0
Shaher.Kotda	Kalupur	2.0
Kalupur	Khadia	1.0
Kalupur	Kalupur	3.0
Kalupur	Shrinagar.Mills	4.0
Kalupur	Sarangpur	7.0
Kalupur	Prem.Darwaja	15.0
Kalupur	Idgah.Chowki	2.0
Kalupur	Kalupur.Terminus	1.0
Kalupur	Chamunda.Overbridge	1.0
Kalupur	Delhi.Darwaja	2.0
Kalupur	Raipur.Darwaja	3.0
Kalupur	Dariyapur.Darwaja	1.0
Kalupur	Saraspur.Cross.Road	2.0
Kalupur	Dhanasuthar.ni.Pol	2.0
Kalupur	Amdupura	1.0
Shrinagar.Mills	Kalupur	1.0
Shrinagar.Mills	Dr.Babasaheb.Ambedkar.Hall	4.0
Shrinagar.Mills	Shardaben.Hospital	2.0
Shrinagar.Mills	Kalupur.Terminus	3.0
Shrinagar.Mills	Kala.Bhavan	1.0
Dr.Babasaheb.Ambedkar.Hall	Kalupur	1.0
Dr.Babasaheb.Ambedkar.Hall	Shrinagar.Mills	4.0
Dr.Babasaheb.Ambedkar.Hall	Shardaben.Hospital	3.0
Dr.Babasaheb.Ambedkar.Hall	Kalupur.Terminus	1.0
Dr.Babasaheb.Ambedkar.Hall	Saraspur.Cross.Road	1.0
Shardaben.Hospital	Dr.Babasaheb.Ambedkar.Hall	6.0
Shardaben.Hospital	Bombay.Housing	3.0
Shardaben.Hospital	Bheedbhanjan.Hanuman	3.0
Shardaben.Hospital	Vorano.Rojo	1.0
Shardaben.Hospital	Raipur.Mills	1.0
Shardaben.Hospital	Vishnu.Nagar	1.0
Shardaben.Hospital	Bhagwati.Nagar	1.0
Bombay.Housing	Shardaben.Hospital	4.0
Bombay.Housing	Bheedbhanjan.Hanuman	3.0
Bombay.Housing	Hatkeshwar.Circle	1.0
Bombay.Housing	Pickers.Factory	1.0
Bombay.Housing	Tapovan.Society	1.0
Bombay.Housing	Nutan.Mills	1.0
Bombay.Housing	Ganji.Farak.Mills	1.0
Bombay.Housing	Hathi.ni.Khai	1.0
Bheedbhanjan.Hanuman	Shardaben.Hospital	3.0
Bheedbhanjan.Hanuman	Bombay.Housing	3.0
Bheedbhanjan.Hanuman	Bapunagar	3.0
Bheedbhanjan.Hanuman	Bapunagar.Terminus	1.0
Bheedbhanjan.Hanuman	Bapunagar.Cross.Road	2.0
Bapunagar	Bheedbhanjan.Hanuman	2.0
Bapunagar	Khodiyar.Nagar	3.0
Bapunagar	Bapunagar.Cross.Road	1.0
Khodiyar.Nagar	Bapunagar	2.0
Khodiyar.Nagar	Chandrabhaga.Society	1.0
Khodiyar.Nagar	Viratnagar	2.0
