% #source	#target	#weight
1	479	1.0
1	601	1.0	
2	385	9.0
2	1085	8.0
3	114	2.0
3	116	4.0
3	469	2.0
4	313	2.0
5	13	25.0
5	14	1.0
5	15	40.0
5	108	5.0
5	278	37.0
5	581	35.0
5	995	1.0
6	545	1.0
6	843	20.0
6	1158	21.0
7	308	3.0
7	1176	3.0
8	106	1.0
8	462	1.0
9	418	1.0
9	1046	1.0
10	426	60.0
10	907	55.0
12	142	1.0
12	313	2.0
12	948	3.0
13	14	57.0
13	15	1.0
13	70	1.0
13	261	57.0
13	329	2.0
13	1077	1.0
13	1208	1.0
14	15	31.0
14	131	11.0
14	132	1.0
14	995	24.0
14	1077	55.0
15	328	2.0
15	329	4.0
15	995	2.0
16	1018	4.0
16	1132	4.0
17	150	3.0
17	157	2.0
17	225	5.0
17	315	1.0
17	486	10.0
17	581	12.0
17	914	1.0
18	77	1.0
18	186	1.0
18	808	9.0
18	1015	1.0
18	1154	8.0
19	1140	1.0
20	490	2.0
20	622	4.0
22	1082	1.0
23	665	1.0
23	1157	1.0
25	682	1.0
25	807	1.0
25	877	1.0
25	974	5.0
25	980	2.0
26	44	4.0
26	234	4.0
27	234	8.0
27	356	8.0
28	336	1.0
28	785	1.0
29	996	1.0
29	1057	1.0
30	348	2.0
30	700	2.0
30	701	1.0
30	921	3.0
30	1128	2.0
31	395	1.0
31	1155	1.0
35	57	4.0
35	1128	2.0
35	1204	2.0
37	39	1.0
37	680	1.0
38	679	1.0
38	1001	1.0
40	235	84.0
40	289	1.0
40	393	1.0
40	731	3.0
40	878	15.0
40	1063	66.0
40	1181	4.0
41	878	1.0
41	1063	1.0
42	97	1.0
42	235	86.0
42	290	7.0
42	338	5.0
42	524	55.0
42	639	35.0
42	1008	1.0
43	1063	1.0
44	474	2.0
44	844	4.0
44	1109	2.0
45	61	12.0
45	63	1.0
45	142	4.0
45	345	4.0
45	446	2.0
45	674	46.0
45	1027	67.0
45	1150	1.0
47	244	1.0
47	1195	1.0
49	190	1.0
50	309	1.0
50	518	1.0
51	109	1.0
51	1041	1.0
52	54	17.0
52	761	21.0
53	506	1.0
53	1152	1.0
54	82	1.0
54	244	14.0
54	245	1.0
54	347	16.0
54	460	1.0
54	505	15.0
54	540	5.0
54	1049	5.0
55	892	3.0
55	1168	3.0
56	976	1.0
57	903	5.0
57	904	1.0
59	293	12.0
59	839	8.0
59	1014	4.0
60	142	1.0
60	147	4.0
60	314	2.0
60	316	2.0
60	381	9.0
60	456	7.0
60	674	9.0
60	899	1.0
60	913	20.0
60	1037	7.0
60	1043	15.0
60	1093	1.0
60	1217	1.0
61	314	26.0
61	446	16.0
61	1059	54.0
62	456	1.0
62	1037	1.0
63	316	1.0
63	345	1.0
63	381	2.0
63	555	1.0
63	674	1.0
63	1059	1.0
64	555	4.0
64	1059	5.0
65	247	11.0
65	1097	10.0
65	1110	1.0
67	173	4.0
67	247	9.0
67	860	7.0
67	1016	12.0
67	1097	7.0
67	1214	1.0
69	173	1.0
69	1097	36.0
69	1110	4.0
70	204	1.0
70	300	1.0
70	923	2.0
70	1208	3.0
71	1081	1.0
73	193	2.0
73	1041	2.0
74	662	1.0
74	1063	1.0
75	767	1.0
75	1157	1.0
78	79	2.0
79	663	4.0
80	188	5.0
80	717	1.0
80	734	6.0
81	423	1.0
81	461	1.0
82	1056	1.0
83	98	1.0
83	802	2.0
