% #Source	#Target	#Weight
Kendriya.Terminal	Dr.RML.Hospital	27
Kendriya.Terminal	NDPO	27
Kendriya.Terminal	Regal.Cinema	1
Kendriya.Terminal	Upper.Ridge.Road	1
Kendriya.Terminal	Railway.Colony	1
Kendriya.Terminal	L.N..Tample	2
Kendriya.Terminal	Mandir.Marg	1
Kendriya.Terminal	Palika.Kendra	3
Kendriya.Terminal	Krishi.Bhawan	5
Kendriya.Terminal	Ridge.Road.Xing	2
Kendriya.Terminal	Talkatora.Garden	4
Dr.RML.Hospital	Kendriya.Terminal	3
Dr.RML.Hospital	NDPO	2
Dr.RML.Hospital	Regal.Cinema	1
Dr.RML.Hospital	Shadi.Pur.Depot	2
Dr.RML.Hospital	Upper.Ridge.Road	1
Dr.RML.Hospital	Railway.Colony	3
Dr.RML.Hospital	L.N..Tample	2
Dr.RML.Hospital	Krishi.Bhawan	1
Dr.RML.Hospital	Ridge.Road	6
Dr.RML.Hospital	Shankar.Road	2
Dr.RML.Hospital	Ridge.Road.Xing	1
Dr.RML.Hospital	Talkatora.Garden	7
NDPO	Kendriya.Terminal	12
NDPO	Regal.Cinema	4
NDPO	Jantar.Mantar	1
NDPO	Patel.Chowk	10
NDPO	Palika.Kendra	3
NDPO	Vigyan.Bhawan	1
NDPO	Krishi.Bhawan	11
NDPO	Central.Secretariat	1
Regal.Cinema	Kendriya.Terminal	4
Regal.Cinema	Shivaji.Stadium	3
Regal.Cinema	Chitra.Gupta.Road	1
Regal.Cinema	New.Delhi.Railway.Station.Gate-II	1
Regal.Cinema	Mandi.House	1
Regal.Cinema	Patel.Chowk	1
Regal.Cinema	Super.Bazar.CP	1
Regal.Cinema	New.Delhi.Railway.Station.Gate-I	1
Regal.Cinema	Krishi.Bhawan	1
Regal.Cinema	Akashvani.Bhawan	1
Regal.Cinema	A.I.R.	1
Shivaji.Stadium	Kendriya.Terminal	2
Shivaji.Stadium	NDPO	5
Shivaji.Stadium	Chitra.Gupta.Road	1
Shivaji.Stadium	Jantar.Mantar	1
Shivaji.Stadium	Statesman	5
Shivaji.Stadium	Mandi.House	1
Shivaji.Stadium	Mandir.Marg	4
Shivaji.Stadium	Super.Bazar.CP	3
Shivaji.Stadium	Vivekanand.Road	4
Shivaji.Stadium	Palika.Kendra	2
Shivaji.Stadium	Gole.Market	4
Shivaji.Stadium	New.Delhi.Railway.Station.Gate-I	1
Shivaji.Stadium	Pusa.Road.Petrol.Pump	2
Shivaji.Stadium	Govt.Press	1
Shivaji.Stadium	Raghubir.Nagar.F-Blk	1
Shivaji.Stadium	Meghdoot.Bhawan	1
Shivaji.Stadium	A.I.R.	1
Shivaji.Stadium	Punchkuian.Raod	1
Chitra.Gupta.Road	Shivaji.Stadium	1
Chitra.Gupta.Road	Pahar.Ganj.Police.Station	2
Chitra.Gupta.Road	Faiz.Road	1
Chitra.Gupta.Road	Karol.Bagh.Terminal	1
Chitra.Gupta.Road	Super.Bazar.CP	2
Pahar.Ganj.Police.Station	Chitra.Gupta.Road	3
Pahar.Ganj.Police.Station	Faiz.Road	2
Pahar.Ganj.Police.Station	DB.Gupta.Market	4
Pahar.Ganj.Police.Station	Ajmeri.Gate	1
Pahar.Ganj.Police.Station	Karol.Bagh.Terminal	8
Pahar.Ganj.Police.Station	New.Delhi.Railway.Station.Gate-I	2
Pahar.Ganj.Police.Station	Karol.Bagh	1
Pahar.Ganj.Police.Station	Rani.Jhansi.Road.(Id.Gah.)	1
Pahar.Ganj.Police.Station	Sadar.Thana	1
Pahar.Ganj.Police.Station	Sucheta.Kriplani.Hospital	1
Pahar.Ganj.Police.Station	Meghdoot.Bhawan	2
Faiz.Road	Guru.Govind.Singh.Marg	1
Faiz.Road	Ice.Factory	1
Faiz.Road	DB.Gupta.Market	2
Faiz.Road	Pusa.Road.Petrol.Pump	3
Faiz.Road	Meghdoot.Bhawan	1
Faiz.Road	Rabindra.Rangshala	1
Guru.Govind.Singh.Marg	Faiz.Road	3
Guru.Govind.Singh.Marg	Sarai.Rohilla	12
Guru.Govind.Singh.Marg	Filmistan	1
Guru.Govind.Singh.Marg	Pusa.Road.Petrol.Pump	1
Guru.Govind.Singh.Marg	Liberty	4
Guru.Govind.Singh.Marg	.Keekarwala.Chowk	1
Sarai.Rohilla	Subhadra.Cly	7
Sarai.Rohilla	Shastri.Bagh.E-Blk	1
Sarai.Rohilla	DB.Gupta.Market	1
Sarai.Rohilla	Anand.Parvat	2
Sarai.Rohilla	Zakhira	5
Sarai.Rohilla	Daya.Basti	23
Sarai.Rohilla	D.B..Gupta.Rd	1
Subhadra.Cly	Sarai.Rohilla	3
Subhadra.Cly	Shastri.Bagh.E-Blk	5
Subhadra.Cly	Gulabi.Bagh	4
Shastri.Bagh.E-Blk	Subhadra.Cly	2
Shastri.Bagh.E-Blk	Wazir.Pur.JJ.Cly	2
Shastri.Bagh.E-Blk	Keshav.Puram.B-3	1
Shastri.Bagh.E-Blk	Inderlok	2
Shastri.Bagh.E-Blk	Gulabi.Bagh	1
Shastri.Bagh.E-Blk	Zakhira	1
Wazir.Pur.JJ.Cly	Shastri.Bagh.E-Blk	1
Wazir.Pur.JJ.Cly	Kanhiya.Nagar	4
Wazir.Pur.JJ.Cly	Tri.Nagar.Jai.Mata.Market	1
Wazir.Pur.JJ.Cly	Ashok.Vihar.Ph-I	4
Wazir.Pur.JJ.Cly	Deep.Market	1
