% #Source	#Target	#Weight	
Howrah.Station	Barabazar	18.0
Barabazar	Dalhousie/Strand.Road	25.0
Barabazar	Manicktala	1.0
Barabazar	Howrah.Station	11.0
Barabazar	Thakurpukur.	1.0
Barabazar	Mahatma.Gandhi.Road	1.0
Dalhousie/Strand.Road	Park.Street.	1.0
Dalhousie/Strand.Road	Esplanade	4.0
Dalhousie/Strand.Road	Khidderpore	4.0
Dalhousie/Strand.Road	Park.Street	15.0
Dalhousie/Strand.Road	Babughat	1.0
Park.Street	Rabindra.Sadan	1.0
Rabindra.Sadan	Esplanade	4.0
Rabindra.Sadan	Park.Street	17.0
Rabindra.Sadan	P.G..Hospital	6.0
Rabindra.Sadan	PG.Hospital	2.0
Rabindra.Sadan	Minto.Park	2.0
Bhawanipore	Rabindra.Sadan	19.0
Bhawanipore	Hazra	1.0
Hazra	Rasbehari	1.0
Rasbehari	Deshapriya.Park	14.0
Rasbehari	Hazra	16.0
Rasbehari	Deshaporiya.Park	1.0
Deshapriya.Park	Southern.Avenue	4.0
Deshapriya.Park	Gariahat	13.0
Southern.Avenue	Golpark	4.0
Golpark	Gariahat	2.0
Golpark	Garihat.Flyover	1.0
Dhakuria	Golpark	5.0
Dhakuria	Jadavpur.8B.Bus.Stand	5.0
Dhakuria	Gariahat	1.0
Jadavpur.P.S	Dhakuria	2.0
Jadavpur.P.S	Jadavpur	2.0
Jadavpur	Howrah.Station	2.0
Jadavpur	Sulekha	4.0
Esplanade	Park.Street	5.0
Esplanade	Saltlake.Sec.5	1.0
Esplanade	Stand.Road	3.0
Esplanade	Mulali	1.0
Esplanade	Sealdaha	1.0
Esplanade	CR.Avenue	1.0
Esplanade	Sealdah.Stn.	1.0
Khidderpore	Esplanade	2.0
Khidderpore	Ekbalpur	1.0
Ekbalpur	Mominpore	1.0
Ekbalpur	Khidirpore	3.0
Ekbalpur	Khidirpur	4.0
Ekbalpur	Khidirpur.Princep.Ghat	1.0
Mominpore	Khidderpore	7.0
Mominpore	Majherhat.Taratala	1.0
Mominpore	MajherhatTaratala	1.0
Majherhat	Mominpore	9.0
Majherhat	Mominpur	10.0
Majherhat	Pathak.Para	4.0
Majherhat	Behala.14.Bus.Stand	1.0
Majherhat	Mominpore.Alipore.Zoo	1.0
Taratala	Majherhat	2.0
Taratala	Behala	1.0
Taratala	New.Alipore.Chetla	1.0
Taratala	Brace.Bridge.Jinjira.Bazar	1.0
Parnasree	Howrah.Station	1.0
Parnasree	Taratala	2.0
Parnasree	Howrah.Station	1.0
Parnasree	Behala.Airport.(Parnasree)	1.0
Park.Street	Esplanade.Moulali	1.0
Hazra	Bhawanipore	18.0
Hazra	Mominpore	1.0
Hazra	Gopal.Nagar	1.0
Hazra	Kalighat	1.0
Hazra	Ballygunj.Phari	1.0
Hazra	Bhawanipur	4.0
Hazra	Exide	1.0
Hazra	Rashbehari	1.0
Tollygunge.Phari	Rasbehari	6.0
Tollygunge.Phari	Tollygunge.Tram.Depot	2.0
Tollygunge.Phari	New.Alipore	2.0
Tollygunge.Phari	M.R..Bangur.Hospital	1.0
Tollygunge.Phari	Rasbehari.Xing	1.0
Tollygunge.Tram.Depot	Haridevpur	1.0
Tollygunge.Tram.Depot	Ranikuthi	2.0
Tollygunge.Tram.Depot	Kudghat	1.0
Tollygunge.Tram.Depot	Prince.Anwar.Shah.Road	1.0
Tollygunge.Tram.Depot	Chanditala	1.0
Haridevpur	Howrah.Station.	1.0
Haridevpur	Karunamayee	1.0
Manicktala	Ultadanga	1.0
Ultadanga	Saltlake.Karunamoyee	1.0
Ultadanga	Kankurgachi	5.0
Ultadanga	Khanna	5.0
Ultadanga	PNB.More	3.0
Ultadanga	Salt.Lake.Karunamoyee	1.0
Ultadanga	Huddco	2.0
Ultadanga	New.Town.	1.0
Ultadanga	Airport.Gate.No.1	1.0
Ultadanga	VIP.Road	4.0
Ultadanga	Lake.Town	2.0
Saltlake.Karunamoyee	Nabanna	1.0
Nabanna	Howrah.Station.	1.0
Nabanna	Dakshineshwar	1.0
Nabanna	Howrah.Station	2.0
Nabanna	Sarsuna.	1.0
Nabanna	Paikpara.	1.0
Mandirtala	Nabanna	2.0
Mandirtala	Vidyasagar.Setu	3.0
Vidyasagar.Setu	P.T.S.	6.0
P.T.S.	Mominpore	1.0
P.T.S.	Nabanna	1.0
P.T.S.	Alipore.Zoo	1.0
P.G..Hospital	P.T.S.	7.0
P.G..Hospital	Rabindra.Sadan.Bhawanipore	1.0
Central.Avenue	Esplanade	6.0
Central.Avenue	B.B.D.Bag	1.0
Girish.Park	Central.Avenue	8.0
Girish.Park	Maniktala	1.0
Girish.Park	C.R.Avenue	1.0
Girish.Park	Sovabazar.Rajballavpara	1.0
Girish.Park	Vivekananda.Road	1.0
Sovabazar	Girish.Park	6.0
Sovabazar	Shyambazar	1.0
Rajballavpara	Sovabazar	5.0
Rajballavpara	Sovabazar.Girish.Park	1.0
Shyambazar	Rajballavpara	8.0
Shyambazar	Khanna	9.0
Shyambazar	Grey.Street	1.0
Shyambazar	Hatibagan	1.0
Shyambazar	R.G..Kar.Hospital	2.0
Chiria.More	Shyambazar	6.0
Chiria.More	Tala	1.0
Chiria.More	Paikpara.More	1.0
Sinthee.More	Chiria.More	7.0
Bonhoogly	Sinthee.More	8.0
Bonhoogly	Baranagar.Bazar	1.0
Dunlop	Bonhoogly	8.0
Dunlop	Airport.Gate.No.1.	1.0
Dunlop	Ultadanga..	1.0
Dunlop	Bonhoogly.Sinthee.More	1.0
Dunlop	Bally.Khal	1.0
Rathtala	Dunlop	5.0
Rathtala	Belghoria	5.0
Belghoria	Dunlop	1.0
Belghoria	Kamarhati	5.0
Kamarhati	Sodepur	5.0
Sodepur	Khardah	4.0
Sodepur	Sakherbazar	1.0
Sodepur	KhardahTitagarh	1.0
Khardah	Titagarh	4.0
Titagarh	Talpukur	3.0
Titagarh	Talpukur.Barrackpore.Station	1.0
Talpukur	Barrackpore.Station	4.0
Barrackpore.Station	Barrackpore.Court	2.0
Barrackpore.Station	Nil.Depot	1.0
Barrackpore.Station	Wireless.More	1.0
Barrackpore.Court	Howrah.Station.	1.0
Barrackpore.Court	Airport.Gate.No.1.	1.0
Barrackpore.Court	Bagbazar..	1.0
M.G.Road	Barabazar	3.0
M.G.Road	Central.Avenue	1.0
M.G.Road	Sealdah	1.0
Nil.Depot	Dum.Dum.Station.	1.0
Dum.Dum.Station.	Chiria.More	1.0
Dakshineshwar	Jadavpur	1.0
Dakshineshwar	Dunlop	3.0
Dakshineshwar	Bally.Holt	1.0
Dakshineshwar	Dunlop.(Baranagar.Road.Station)	1.0
Bally.Holt	Dankuni	1.0
Dankuni	Howrah.Maidan.	1.0
Howrah.Maidan.	Howrah.Station	1.0
Howrah.Station	Jadavpur	1.0
Howrah.Station	Taratala.	1.0
