% Source Target
0 117
0 491
0 603
0 773
0 1020
0 1053
0 1086
0 1224
0 1498
0 1683
0 1719
0 1954
1 1086
1 1096
1 1108
1 1719
2 1951
3 773
3 1053
3 1086
4 281
4 511
4 577
4 605
4 773
4 795
4 889
4 1020
4 1070
4 1071
4 1498
4 1683
4 1739
5 773
5 1086
5 1386
5 1402
6 26
6 33
6 56
6 57
6 58
6 59
6 60
6 74
6 144
6 162
6 163
6 164
6 166
6 173
6 209
6 785
6 1039
6 1163
6 1277
6 1590
6 1716
6 1746
6 1852
6 1853
6 1857
7 45
7 155
7 207
7 320
7 412
7 446
7 450
7 484
7 488
7 511
7 618
7 632
7 652
7 700
7 773
7 851
7 1020
7 1056
7 1224
7 1429
7 1548
7 1587
7 1606
7 1653
10 250
10 254
10 399
10 511
10 553
10 1082
10 1153
10 1224
10 1300
10 1317
10 1318
10 1586
10 1657
10 1719
10 1727
11 131
11 141
11 207
11 221
11 285
11 773
11 780
11 996
11 1053
11 1166
11 1212
11 1514
11 1713
11 1784
11 1794
11 1812
11 1846
12 176
13 45
13 131
13 194
13 234
13 276
13 281
13 285
13 317
13 320
13 336
13 338
13 342
13 343
13 352
13 359
13 385
13 386
13 409
13 419
13 421
13 511
13 516
13 553
13 558
13 582
13 609
13 614
13 618
13 672
13 726
13 773
13 785
13 867
13 872
13 1020
13 1053
13 1056
13 1070
13 1086
13 1167
13 1199
13 1203
13 1204
13 1212
13 1259
13 1264
13 1279
13 1457
13 1490
13 1514
13 1566
13 1591
13 1657
13 1661
13 1683
13 1703
13 1719
13 1727
13 1753
13 1765
13 1885
13 1890
13 1905
13 1970
14 475
14 745
14 1351
14 1657
14 1753
15 280
15 511
15 1351
16 13
16 45
16 99
16 194
16 207
16 223
16 231
16 232
16 280
16 281
16 285
16 317
16 320
16 327
16 335
16 342
16 343
16 344
16 385
16 409
16 516
16 527
16 585
16 618
16 628
16 650
16 710
16 760
16 761
16 773
16 807
16 889
16 1020
16 1053
16 1224
16 1274
16 1292
16 1351
16 1376
16 1432
16 1433
16 1444
16 1514
16 1528
16 1530
16 1653
16 1674
16 1683
16 1719
16 1742
16 1749
16 1751
16 1856
16 1860
16 1871
16 1882
16 1930
16 1970
18 320
18 803
18 1020
18 1053
18 1588
18 1683
18 1717
19 1174
19 1402
20 1163
21 145
21 285
21 320
21 343
21 889
21 1056
21 1071
21 1657
21 1663
22 117
22 165
22 328
22 1321
22 1498
22 1606
23 274
23 361
23 635
23 773
23 876
23 1019
23 1020
23 1053
23 1396
23 1397
23 1504
23 1530
23 1683
23 1684
23 1719
23 1748
23 1886
24 1350
24 1351
24 1482
24 1485
24 1872
25 618
25 773
25 1351
26 166
26 409
26 482
26 760
26 1015
26 1038
26 1167
26 1530
27 267
27 1165
27 1700
28 27
28 1653
28 1660
28 1663
29 16
29 45
29 175
29 194
29 285
29 320
29 509
29 760
29 785
29 884
29 1020
29 1053
29 1306
29 1514
29 1657
29 1683
29 1714
29 1719
29 1753
30 281
30 409
30 516
30 773
30 927
30 1020
30 1053
30 1211
30 1514
30 1683
31 64
31 65
31 131
31 207
31 240
31 247
31 284
31 285
31 317
31 320
31 385
31 391
31 412
31 434
31 618
31 635
31 646
31 678
31 773
31 776
31 1020
31 1047
31 1053
31 1167
31 1212
31 1296
